goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	17038379180 ns/op	4331539608 B/op	    1880 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	19560501590 ns/op	4243439536 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	22212992373 ns/op	4243439536 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	18340286378 ns/op	4243439552 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	14448597285 ns/op	4243439536 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	19176473860 ns/op	4243439536 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	15157893687 ns/op	4243439552 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	18481292928 ns/op	4243439536 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	14472685168 ns/op	4243439552 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	16644213966 ns/op	4243439552 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	17889806973 ns/op	4243439536 B/op	    1667 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	17620719462 ns/op	3799844688 B/op	     929 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	10413136157 ns/op	3799844704 B/op	     929 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	19222605390 ns/op	3799847120 B/op	     936 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	17352034615 ns/op	3799844720 B/op	     929 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	15144057272 ns/op	3799844704 B/op	     929 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	12457272248 ns/op	3799844704 B/op	     929 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	16072284598 ns/op	3799844704 B/op	     929 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	16189978086 ns/op	3799845536 B/op	     934 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	16193216922 ns/op	3799847328 B/op	     938 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	17936224209 ns/op	3799845552 B/op	     934 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	17348945375 ns/op	4243442064 B/op	    1739 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	14703241604 ns/op	4243443840 B/op	    1743 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	21037123105 ns/op	4243442080 B/op	    1739 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	18493747690 ns/op	4243442256 B/op	    1741 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	12985773865 ns/op	4243442080 B/op	    1739 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	16265563962 ns/op	4243442448 B/op	    1743 allocs/op
BenchmarkParseOnly/strategy=OPP/file=citylots.json/goroutines=6/reduction=mixed-128         	       1	15303369794 ns/op	4243442064 B/op	    1739 allocs/op
