goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	2055584684 ns/op	1495578064 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	2423560210 ns/op	1495578064 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=3/reduction=mixed-128      	       1	3722325883 ns/op	1495578080 B/op	     805 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3644403715 ns/op	1402251872 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	5877028925 ns/op	1402251872 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	1592713932 ns/op	1402251872 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3674867925 ns/op	1402251888 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	4598134670 ns/op	1402251888 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	4661549157 ns/op	1402251888 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	3037526651 ns/op	1402251888 B/op	     621 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=emojis-1000.json/goroutines=4/reduction=sweep-128      	       1	2463293882 ns/op	1402251888 B/op	     621 allocs/op
