goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	17455330615 ns/op	6612457304 B/op	    6227 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	15966785449 ns/op	6612458008 B/op	    6227 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	17775919400 ns/op	6612457128 B/op	    6225 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	23678692463 ns/op	6612457208 B/op	    6226 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	19464215260 ns/op	6612454872 B/op	    6220 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	18116661583 ns/op	6612456872 B/op	    6226 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	16399075908 ns/op	6612454872 B/op	    6220 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	21282797045 ns/op	6612457304 B/op	    6227 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	14517584623 ns/op	6612456872 B/op	    6226 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	22579577256 ns/op	6612459096 B/op	    6231 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	25901529242 ns/op	6079723128 B/op	    5284 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	21531415195 ns/op	6079721768 B/op	    5281 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	25157907740 ns/op	6079721944 B/op	    5279 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	21059696873 ns/op	6079720584 B/op	    5276 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	20009417427 ns/op	6079722392 B/op	    5280 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	24796774952 ns/op	6079722376 B/op	    5280 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	18403932394 ns/op	6079722840 B/op	    5281 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	14109046259 ns/op	6079722040 B/op	    5280 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	19459633724 ns/op	6079719608 B/op	    5273 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	19648200641 ns/op	6079722936 B/op	    5282 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	14264410283 ns/op	6612457288 B/op	    6277 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	17671130949 ns/op	6612459272 B/op	    6283 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	18142022561 ns/op	6612459048 B/op	    6281 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	14432802391 ns/op	6612459064 B/op	    6281 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	24169405347 ns/op	6612458472 B/op	    6282 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	18305040906 ns/op	6612457496 B/op	    6279 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	15195150474 ns/op	6612457928 B/op	    6280 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	17896028082 ns/op	6612457128 B/op	    6279 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	21460653421 ns/op	6612457032 B/op	    6278 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	14803249149 ns/op	6612456840 B/op	    6276 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	21630688971 ns/op	6521211136 B/op	    6063 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	15144531802 ns/op	6521211232 B/op	    6064 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	12428261494 ns/op	6521213568 B/op	    6070 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	18650194326 ns/op	6521211136 B/op	    6063 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	17321882911 ns/op	6521213024 B/op	    6068 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	13929411386 ns/op	6521211328 B/op	    6065 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	19507170559 ns/op	6521215360 B/op	    6074 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	15761605451 ns/op	6521213472 B/op	    6069 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	17760052902 ns/op	6521213824 B/op	    6069 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=sweep-128         	       1	21186288802 ns/op	6521215712 B/op	    6074 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	14860379516 ns/op	6077619280 B/op	    5334 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	19949082204 ns/op	6077619552 B/op	    5337 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	16428228490 ns/op	6077619072 B/op	    5332 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	14480550578 ns/op	6077618544 B/op	    5330 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	19486940388 ns/op	6077618544 B/op	    5330 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	15452847585 ns/op	6077618112 B/op	    5329 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	19592926678 ns/op	6077627024 B/op	    5334 allocs/op
BenchmarkParse/strategy=OPP/file=citylots.json/goroutines=6/reduction=parallel-128      	       1	18657078956 ns/op	6077618912 B/op	    5334 allocs/op
