goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	15230937272 ns/op	3842362320 B/op	     873 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	15615838962 ns/op	3842360992 B/op	     870 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	14522283694 ns/op	3842360976 B/op	     870 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	14657850131 ns/op	3842361888 B/op	     872 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	15976291373 ns/op	4652989216 B/op	    2148 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	15272280294 ns/op	4652990560 B/op	    2151 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	15386255408 ns/op	4652989216 B/op	    2148 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	16952061469 ns/op	4652990112 B/op	    2150 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	12269287066 ns/op	4652989216 B/op	    2148 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	14744915535 ns/op	4652989664 B/op	    2149 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	15241028363 ns/op	4652991456 B/op	    2153 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	19381529875 ns/op	4652989200 B/op	    2148 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	17145985500 ns/op	4652989200 B/op	    2148 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	17953581993 ns/op	4652989216 B/op	    2148 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	11275027310 ns/op	4016487592 B/op	    1892 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	12890621228 ns/op	4016487752 B/op	    1894 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	12210559976 ns/op	4016487672 B/op	    1893 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	12536826913 ns/op	4016487592 B/op	    1892 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	12528363226 ns/op	4016487592 B/op	    1892 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	11422441215 ns/op	4016487672 B/op	    1893 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	11697902344 ns/op	4016487592 B/op	    1892 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	11019653208 ns/op	4016487608 B/op	    1892 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	12917785203 ns/op	4016487608 B/op	    1892 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	12565188498 ns/op	4016487768 B/op	    1894 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	11507895520 ns/op	3366311176 B/op	     918 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	11606219948 ns/op	3366311176 B/op	     918 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	11375554028 ns/op	3366311688 B/op	     920 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	11283547690 ns/op	3366311272 B/op	     919 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	11561949101 ns/op	3366311160 B/op	     918 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	12507047674 ns/op	3366311272 B/op	     919 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	12837887752 ns/op	3366311608 B/op	     919 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	11845413308 ns/op	3366311176 B/op	     918 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	11994928723 ns/op	3366311256 B/op	     919 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	13617979368 ns/op	3366311176 B/op	     918 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	11447729752 ns/op	4016490616 B/op	    1935 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	12811688941 ns/op	4016489800 B/op	    1934 allocs/op
BenchmarkParseOnly/strategy=COPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	11802464972 ns/op	4016489800 B/op	    1934 allocs/op
