goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	20741328468 ns/op	2993690432 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	20533332538 ns/op	2993690432 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	11605974239 ns/op	2993690432 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	18210385180 ns/op	2993690448 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=sweep-128            	       1	15125246574 ns/op	2993690432 B/op	    1717 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	15262239102 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	18966953598 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	23323061250 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	20355806812 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	17199165707 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	16672669210 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	17916956078 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	16255705510 ns/op	2494511512 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	14676365742 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=parallel-128         	       1	11838273748 ns/op	2494511528 B/op	     832 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	20846878071 ns/op	2993692384 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	20783921087 ns/op	2993692400 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	21450333160 ns/op	2993692384 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	15193497897 ns/op	2993692384 B/op	    1773 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	19086014367 ns/op	2993692400 B/op	    1773 allocs/op
