goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/opp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=parallel-128         	       1	10460002074 ns/op	3565530008 B/op	     752 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	25033092388 ns/op	4398197752 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	13385152868 ns/op	4398197736 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	21761020420 ns/op	4398197752 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	16558731826 ns/op	4398197736 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	6886615573 ns/op	4398197736 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	20235364812 ns/op	4398197752 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	21370134962 ns/op	4398197736 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	14246279499 ns/op	4398197736 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	23497533731 ns/op	4398197752 B/op	    2344 allocs/op
BenchmarkParseOnly/strategy=OPP/file=wikidata-lexemes.json/goroutines=3/reduction=mixed-128            	       1	24045270670 ns/op	4398197752 B/op	    2344 allocs/op
