goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/aopp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	12527243741 ns/op	2470307496 B/op	     476 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	27413992438 ns/op	2470307944 B/op	     477 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	26758263277 ns/op	2470307496 B/op	     476 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	12815557612 ns/op	2470307496 B/op	     476 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	19742696444 ns/op	2470307496 B/op	     476 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	16463760785 ns/op	2470307496 B/op	     476 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	22329152493 ns/op	2470307496 B/op	     476 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	12141143351 ns/op	2470308392 B/op	     478 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	20222339187 ns/op	2470307496 B/op	     476 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=parallel-128      	       1	16744950116 ns/op	2470307496 B/op	     476 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	19014596687 ns/op	3087992480 B/op	    1660 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	21429230838 ns/op	3087993376 B/op	    1662 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	25535477775 ns/op	3087992032 B/op	    1659 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	18452704410 ns/op	3087992032 B/op	    1659 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	23055006969 ns/op	3087992032 B/op	    1659 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	18165423715 ns/op	3087992032 B/op	    1659 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	15157019571 ns/op	3087992032 B/op	    1659 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	11660748810 ns/op	3087992928 B/op	    1661 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	26838046798 ns/op	3087992128 B/op	    1660 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=4/reduction=mixed-128         	       1	13667706883 ns/op	3087992032 B/op	    1659 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	19973684483 ns/op	2966373776 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	24462175906 ns/op	2966373760 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	15654040375 ns/op	2966373760 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	16096018431 ns/op	2966373760 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	16990933234 ns/op	2966374656 B/op	    1401 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	16625702931 ns/op	2966373776 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	14482108810 ns/op	2966373776 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	14674608832 ns/op	2966373776 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	20877788833 ns/op	2966373760 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=sweep-128         	       1	22594464024 ns/op	2966373776 B/op	    1399 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	10390843804 ns/op	2471391208 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	21548471458 ns/op	2471391208 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	16338127822 ns/op	2471391208 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	19840017027 ns/op	2471391192 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	17943480719 ns/op	2471391224 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	17047767181 ns/op	2471391224 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	16612427119 ns/op	2471391208 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	23211657651 ns/op	2471391208 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	21731724063 ns/op	2471391208 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=parallel-128      	       1	16151222080 ns/op	2471391208 B/op	     522 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	18120196106 ns/op	2966375728 B/op	    1455 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	15570695543 ns/op	2966375728 B/op	    1455 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	14702356997 ns/op	2966375728 B/op	    1455 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	24722755587 ns/op	2966375712 B/op	    1455 allocs/op
BenchmarkParseOnly/strategy=AOPP/file=citylots.json/goroutines=5/reduction=mixed-128         	       1	16337613578 ns/op	2966375728 B/op	    1455 allocs/op
