goos: linux
goarch: amd64
pkg: github.com/giornetta/gopapageno/examples/json/copp
cpu: AMD EPYC 7551 32-Core Processor                
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	14134521965 ns/op	6309343016 B/op	    2623 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	10018537995 ns/op	6309343032 B/op	    2623 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	12360766425 ns/op	6309343032 B/op	    2623 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	11722359642 ns/op	6309343112 B/op	    2624 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	13989829260 ns/op	6309343032 B/op	    2623 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	11164253813 ns/op	6309343032 B/op	    2623 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	12209327015 ns/op	6309343112 B/op	    2624 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	13984890327 ns/op	6309343112 B/op	    2624 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=5/reduction=mixed-128            	       1	12826094286 ns/op	6309343016 B/op	    2623 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	12597913355 ns/op	6511669424 B/op	    2433 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	13250026719 ns/op	6511669344 B/op	    2432 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	13432042785 ns/op	6511669584 B/op	    2435 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	11030961146 ns/op	6511669360 B/op	    2432 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	11306150858 ns/op	6511669440 B/op	    2433 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	13988395496 ns/op	6511669424 B/op	    2433 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	12830406274 ns/op	6511669520 B/op	    2434 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	13753699670 ns/op	6511669344 B/op	    2432 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	11919883811 ns/op	6511669440 B/op	    2433 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=sweep-128            	       1	14846355825 ns/op	6511669504 B/op	    2434 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=parallel-128         	       1	13208351617 ns/op	5856258144 B/op	    1596 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=parallel-128         	       1	10883761439 ns/op	5856258144 B/op	    1596 allocs/op
BenchmarkParseOnly/strategy=COPP/file=wikidata-lexemes.json/goroutines=6/reduction=parallel-128         	       1	11444102777 ns/op	5856258128 B/op	    1596 allocs/op
